ダウンロードした時刻：2019/12/17 16:14:07

,名古屋,名古屋,名古屋
年月日時,気温(℃),気温(℃),気温(℃)
,,品質情報,均質番号
2019/12/16 1:00:00,5.4,8,1
2019/12/16 2:00:00,5.2,8,1
2019/12/16 3:00:00,5.1,8,1
2019/12/16 4:00:00,4.6,8,1
2019/12/16 5:00:00,4.5,8,1
2019/12/16 6:00:00,4.9,8,1
2019/12/16 7:00:00,5.1,8,1
2019/12/16 8:00:00,6.1,8,1
2019/12/16 9:00:00,7.1,8,1
2019/12/16 10:00:00,8.3,8,1
2019/12/16 11:00:00,9.4,8,1
2019/12/16 12:00:00,11.6,8,1
2019/12/16 13:00:00,13.4,8,1
2019/12/16 14:00:00,14.0,8,1
2019/12/16 15:00:00,15.3,8,1
2019/12/16 16:00:00,14.6,8,1
2019/12/16 17:00:00,12.6,8,1
2019/12/16 18:00:00,11.8,8,1
2019/12/16 19:00:00,10.9,8,1
2019/12/16 20:00:00,10.7,8,1
2019/12/16 21:00:00,10.9,8,1
2019/12/16 22:00:00,11.0,8,1
2019/12/16 23:00:00,10.9,8,1
2019/12/17 00:00:00,11.1,8,1
