ダウンロードした時刻：2019/12/13 15:48:57

,名古屋,名古屋,名古屋
年月日時,気温(℃),気温(℃),気温(℃)
,,品質情報,均質番号
2019/12/10 1:00:00,10.1,8,1
2019/12/10 2:00:00,10.0,8,1
2019/12/10 3:00:00,9.5,8,1
2019/12/10 4:00:00,9.3,8,1
2019/12/10 5:00:00,9.2,8,1
2019/12/10 6:00:00,9.0,8,1
2019/12/10 7:00:00,8.6,8,1
2019/12/10 8:00:00,9.1,8,1
2019/12/10 9:00:00,10.1,8,1
2019/12/10 10:00:00,12.6,8,1
2019/12/10 11:00:00,14.3,8,1
2019/12/10 12:00:00,16.1,8,1
2019/12/10 13:00:00,16.5,8,1
2019/12/10 14:00:00,16.5,8,1
2019/12/10 15:00:00,16.8,8,1
2019/12/10 16:00:00,16.2,8,1
2019/12/10 17:00:00,14.6,8,1
2019/12/10 18:00:00,13.3,8,1
2019/12/10 19:00:00,12.6,8,1
2019/12/10 20:00:00,11.3,8,1
2019/12/10 21:00:00,10.7,8,1
2019/12/10 22:00:00,10.9,8,1
2019/12/10 23:00:00,10.0,8,1
2019/12/11 00:00:00,10.0,8,1
2019/12/11 1:00:00,9.6,8,1
2019/12/11 2:00:00,9.6,8,1
2019/12/11 3:00:00,8.6,8,1
2019/12/11 4:00:00,8.2,8,1
2019/12/11 5:00:00,7.5,8,1
2019/12/11 6:00:00,7.4,8,1
2019/12/11 7:00:00,7.0,8,1
2019/12/11 8:00:00,7.5,8,1
2019/12/11 9:00:00,9.0,8,1
2019/12/11 10:00:00,11.1,8,1
2019/12/11 11:00:00,13.0,8,1
2019/12/11 12:00:00,14.7,8,1
2019/12/11 13:00:00,15.4,8,1
2019/12/11 14:00:00,15.0,8,1
2019/12/11 15:00:00,14.9,8,1
2019/12/11 16:00:00,13.9,8,1
2019/12/11 17:00:00,13.6,8,1
2019/12/11 18:00:00,13.1,8,1
2019/12/11 19:00:00,11.8,8,1
2019/12/11 20:00:00,11.7,8,1
2019/12/11 21:00:00,11.0,8,1
2019/12/11 22:00:00,11.3,8,1
2019/12/11 23:00:00,10.4,8,1
2019/12/12 00:00:00,9.2,8,1
